italian_name,n_sources,sources,latin_names
della regina claudia ros«a,1,targioni_1858,PRUNI Claudia grossa
den- taria caustica,1,targioni_1858,PLUVIA AGO europaea
dente cavallino,1,targioni_1858,HYOSCIAMUS albus
dente di cane,1,targioni_1858,ERYTRONIUM Dens Cani*; LEONTODON L
dentino bianco buono,1,targioni_1858,HYDNUM imhricatum
dentino dorato buono,1,targioni_1858,HYDNUM repandum
dentischio,1,targioni_1858,PESTACI A Lentiscus
dentisco,1,targioni_1858,PESTACI A Lentiscus
dentistio,1,targioni_1858,PESTACI A Lentiscus
dentollaria,1,targioni_1858,PLUVIA AGO europaea
desf,1,targioni_1858,CITRUS Pomo assirio. Pomo d’Adamo
di bonifazio,1,targioni_1858,PYRI Madonna
di borgogna,1,targioni_1858,VITIS Mammolo sgrigiolante
di cimice »,1,targioni_1858,ROSA CANINA ». off. Rosa sylvcstris Savi
di due volte seconda,1,targioni_1858,VITIS di due volte
di faraone v,1,targioni_1858,FICO CASTAGNUOLO Vedi Fico Castagnolo
di fosse,1,targioni_1858,CIBO Jnncus ivi
di francia,1,targioni_1858,AMYGDALI della Maddalena
di frutto piccolo lunghetto,1,targioni_1858,OLEAE da indolcire di foglie strette e frutto grosso
di gerusalemme,1,targioni_1858,PYRI di Casentino
di granata,1,targioni_1858,PRUNI detta la rotonda
di montagna,1,targioni_1858,PRUNI Buon- dì
di monte rappol.i,1,targioni_1858,VITIS Vernaccia di Corneglia
di spagna bianca,1,targioni_1858,PRUNI di Spagna
di turchia o turca v,1,targioni_1858,MELISSA Matt. Dracocephalum Moldavica
diac- ciolina bianca,1,targioni_1858,PRUNI Diacciolina
diaccio- lona,1,targioni_1858,PRUNI Diacciolina d’altra sorte
diacinto stellato,1,targioni_1858,SCILLA campanulata. Smith
diafrro in due fretti,1,matthioli_1568,
diapensia,1,targioni_1858,SANGUISORB SANI’CULA europaca
diervilla,1,targioni_1858,LONÌCER Abbracciabosco. Abbracciadonne . Bracciabosco . Ca- prifoglio . Caprifolio . Madreselva . Matriselva . Peri- climeno. Vincibosco
dimeno,1,targioni_1858,LATHYRUS Clymenum
diminutus,1,targioni_1858,DENTARIA China
dioica,1,targioni_1858,LYCHNIS Licnide della china. Lycnide sussi
dioica calcedonica i5t scorzonera ist,1,targioni_1858,ERRORI 155 SCARLATTEA doppia
diphrige,1,matthioli_1568,
discinto stellare,1,targioni_1858,SCILLA campanulata. Smith
disciplina fratrum,1,targioni_1858,ATRIPLEX Halimus
diseectus,1,targioni_1858,RANUNCULUS Stella d’ oro
disenterica,1,targioni_1858,INULA Bubonio . Inguinaria . Inguinale
"distichum , nudum",1,targioni_1858,HORDEUM Spelda . Spelta
disturbio,1,targioni_1858,HYOSCIAMUS albus
ditola bianca,1,targioni_1858,"CLAVARIA coralloides, albida"
ditola gialla,1,targioni_1858,"CLAVARIA coralloides , lutea"
ditola*,1,targioni_1858,CLAVARIA coralloides
dittamo,1,targioni_1858,DICTAMNUS albus
dittamo bianco,1,targioni_1858,DICTAMNUS albus
dittamo fallò,1,matthioli_1568,DICTAMNUS albus
dittamo falso,1,targioni_1858,MARRUBIUM Pseudodictainus; MARRUBIUM acetabulosum
divella,1,targioni_1858,DAPHNE alpina
"do nestica , saliva fructu turbinato sessili partim e rubro ferrugineo , partim flavo punctato sorba pera ottobrina ,culo innanzi puntata",1,targioni_1858,SOR BUS Sorba pera «ttobrina segnata di punti rossi
dolce di francia,1,targioni_1858,PYRI Dolce
"dolce di portogallo , o",1,targioni_1858,FAMIGLIOLA 90
dolcichi- ni,1,targioni_1858,CYPERUS esculentus
dolcimele,1,targioni_1858,LAMIUM maculatum
dolciulini,1,targioni_1858,CYPERUS esculentus
dolzolini,1,targioni_1858,CYPERUS esculentus
domenicani,1,targioni_1858,CARDIOSPERMUM Kalicacabum
domenico,1,targioni_1858,"CARDIOSPERMUM Kalicacabum; CITRUS Divi Dominici; CITRUS medici Limon , Peretta sivc spathaphòra; MELI A Azedaracli"
domenico pazienza,1,targioni_1858,MELI A Azedaracli
domestica,1,targioni_1858,"PRUNUS Ciregiolo . Ciriegiòlo; SOR BUS Sorba salvatica ottobrina , della Romola, della Ragnaja del Palagio de Gian- figliazzi ? Mich. Sorbo selvatico"
"domestica , a malis cognominata",1,targioni_1858,PRUNUS Pruno . Susino. Susino domestico
"domestica , catalanica",1,targioni_1858,PRUNUS ■
"domestica , catclana colore subviridi",1,targioni_1858,PRUNUS Susina prugnola
"domestica , claudiana",1,targioni_1858,PRUNUS Susina mirabella
"domestica , clavae effigie",1,targioni_1858,PRUNUS Susina Claudia . Susina Regina Claudia
"domestica , colore sub viridi",1,targioni_1858,PRUNUS Susina Campana . Susina diacciola
"domestica , damascena",1,targioni_1858,PRUNUS Catelana. Susina Caldana bianca
"domestica , fructu oblungo",1,targioni_1858,SOR BUS Sorba mela ottobrina maggiore di tutte
"domestica , justa petiolum extenuata calore flavo",1,targioni_1858,PRUNUS Susina Campana .‘Susina diacciola
"domestica , mytabolana dieta",1,targioni_1858,PRUNUS Susina Semiana . Susina Simiana
"domestica , perdigona , vel",1,targioni_1858,PRUNUS Susina mirabella
"domestica, augustana , ec",1,targioni_1858,PRUNUS Susina pescaccia gialla tonda
"domestica, brignonensis fructu suavissimo",1,targioni_1858,"PRUNUS *- domestica , asinaria"
"domestica, cercala",1,targioni_1858,PRUNUS Susina Catana . *
"domestica, fructu amygdalino",1,targioni_1858,PRUNUS ‘
"domestica, fructu maximo cordato flavo",1,targioni_1858,"PRUNUS - Susina diacciola , o Campana"
"domestica, fructu maximo maliformi",1,targioni_1858,SOR BUS Sorbo. Sorbo domestico
"domestica, fructu maxin>o ovato flavo",1,targioni_1858,PRUNUS Susina albicocca gialla. Susina del cuore bianca
"domestica, fructu sulcato",1,targioni_1858,SOR BUS Sorba a gocciola ot- tobrina . Sorba lunga mezzana a foggia di ottobrina
"domestica, juxca petiolum extenuata",1,targioni_1858,PRUNUS Susina amoscina nera
"domestica, maximiana",1,targioni_1858,"PRUNUS Susina Catalana , o Catelana . Susina Catelana bianca"
"domestica, parva serotina",1,targioni_1858,PRUNUS Susina mirabolana maggiore
"domestica, sativa fructu o'rbiculato medio utrinque umbilicato",1,targioni_1858,"SOR BUS Sorba pera mezzana, ottobrina carnicina"
"domestica, sativa fructu orbiculato non nihil turbinato anguioso c fulvo rufo",1,targioni_1858,SOR BUS Sorbamela ottobrina mezzana
"domestica, sativa fructu turbinato et velati anguioso partim flavescente, par- tim dilute rubente , punctis saturate rubentibus distin cto",1,targioni_1858,SOR BUS Sorba pera minore rossa ottobrina . i
"domesticae , fruetus",1,targioni_1858,PRUNI Ciriegiolo
"domesticae , varietates",1,targioni_1858,PRUNI Susina
donax,1,targioni_1858,ARUNDO Sarac eh io
"donax, variegata seu laconica",1,targioni_1858,ARUNDO Canna montana
doniate bianco,1,targioni_1858,FICI Dottato primaticcio
dora,1,targioni_1858,HOLCUS cernuus
dorata bislunga,1,targioni_1858,PRUNI Do mmasca bianca dorata spruzzata di sangue
dorella,1,targioni_1858,CAMELLINA satira; MYAGRUM sativum . L
dorice,1,targioni_1858,PYRI Doria
doricnio,1,matthioli_1568,
doronico,1,targioni_1858,DORÒNICUM Pardalianches
dorpico,1,targioni_1858,VITIS Dolcilappola bianca
dottato,1,targioni_1858,FICI ■ della Padrona
draba,1,targioni_1858,COCHLEARIA Crenno . Erba forte . Rafano rusticano. Rafano vol- gare
dracocephalum maldavica,1,targioni_1858,MELISSA Matt. Dracocephalum Moldavica
dracunculus,1,targioni_1858,ARONIA Santonico
drago,1,targioni_1858,DOR YCNIUM DR AC \ENA Di aco
drago marino,1,matthioli_1568,DOR YCNIUM DR AC \ENA Di aco
dragontea aquatica,1,targioni_1858,CALLA palustris
dragontea maggiore,1,matthioli_1568,DOR YCNIUM DR AC \ENA Di aco
driopteri,1,matthioli_1568,CASSIA CA’SSINE Peragua. L
dulcamara,1,targioni_1858,SOL ANDRA SO LANUM Dulcamara
duracine,1,targioni_1858,FICI Donicele rosso
duraz,1,targioni_1858,PYRI Ducale
durra,1,targioni_1858,HOLCUS cernuus
d’ oranges,1,targioni_1858,PYRI d’ Amsterdam
d’inghilterra,1,targioni_1858,VIBURNUM ' tundo compresso
e the americano,1,targioni_1858,CASSIA CA’SSINE Peragua. L
e thiop idc,1,matthioli_1568,
eabaria,1,targioni_1858,"SEDUM Telephium , album , et rubrum"
eagusi,1,matthioli_1568,
ebano,1,targioni_1858,DTOSPYROS Ebènum
ebano nero,1,targioni_1858,DTOSPYROS Ebènum
ebbio,1,targioni_1858,SALVIA Trippa Madama . ìAMBUCUS Ebulus
eburu tedefch,1,matthioli_1568,
echinata,1,targioni_1858,VALERIANA Lattugini
echinus marinus,1,matthioli_1568,
echinus terre • aris,1,matthioli_1568,
echio,1,targioni_1858,ECHIUM italicum . Echium vulgare
"edera , et",1,targioni_1858,SIUM SM1LAX aspera
edera terrestre,1,targioni_1858,GLECOMA hederacea
efemero,1,targioni_1858,TORMENTILLA [TRADESCANTIA virginica
egilopa,1,matthioli_1568,
eglanteria,1,targioni_1858,ROSA «
"eglanteria , punicea",1,targioni_1858,ROSA Rosa di Cimice
elaterium,1,targioni_1858,MOMORDICA Zucca lunga del Ceylan
elatior,1,targioni_1858,FRAG Fragola del Chili
"elatior, cellulosa",1,targioni_1858,FRAG Germania grossa. Erba Fragole . Fragola moscadella rossa ?
elba frassinella,1,targioni_1858,STACHYS arvensis
elemi,1,targioni_1858,AMYGDALUS AMY’RIS Eleraifera
eliantemo,1,targioni_1858,CISTUS Helianthemum . L; HELI \NTHE V1UM vulgate
eliotropio maggiore,1,targioni_1858,IISLI HELlOTROPIUMeuropaeum
eliotropio minore,1,targioni_1858,CROCUS tinctoriu-n
elleboro,1,targioni_1858,HELLEBORUS niger; HELLEBORUS viridi*; VER ATRUM album
elleboro bianco,1,targioni_1858,VER ATRUM album
elleboro nero,1,targioni_1858,HELLEBORUS niger
ellera terre- stre,1,targioni_1858,GLECOMA hederacea
elna vocabatur,1,clavis_sanationis_1290,
emmero,1,targioni_1858,CORNUS CÓRONPlLA Emerus
en- divia cresca,1,targioni_1858,CICHORIUM Endivia
enaero,1,targioni_1858,CORNUS CÓRONPlLA Emerus
endiuia,1,matthioli_1568,
endivia annua,1,targioni_1858,CICHORIUM Endivia
endivia domestica .endivia maggiore,1,targioni_1858,CICHORIUM Endivia
epatica,1,targioni_1858,IVT AGNOLI Hepatica . Pera
epatica fegatella,1,targioni_1858,IVT AGNOLI L
ephemero,1,matthioli_1568,
ephemerum,1,targioni_1858,CIBO 47 EFEMERO
epi- ■ medio,1,targioni_1858,EPIMEDIUM alpinum
epigeios ?,1,targioni_1858,ARUNDO Canna di foglie rigate
epithymum,1,targioni_1858,CUSCUTA Gotta del lino. Grinca . Lino di lepre. Lino g neutri- no . Melata linajola. Tarpana . Traccapello
epitimbra,1,targioni_1858,CUSCUTA Gotta del lino. Grinca . Lino di lepre. Lino g neutri- no . Melata linajola. Tarpana . Traccapello
epitimbro,1,targioni_1858,CUSCUTA europaea
epitimo,1,targioni_1858,CUSCUTA Gotta del lino. Grinca . Lino di lepre. Lino g neutri- no . Melata linajola. Tarpana . Traccapello
erba,1,targioni_1858,OSMUNDA Lunaria; SALICORNIA fruticosa. Saticornia herbacea; SALSOLA Kali; SIUM angustifolium; TANACETUW Balsamita. L
"erba , et herba de’ porri",1,targioni_1858,IISLI HELlOTROPIUMeuropaeum
"erba , et herba ju-lai>-a",1,targioni_1858,GALEOBDOLON Tetrahit
"erba , et herba lazza",1,targioni_1858,EUPHORBIA Caracias
"erba , et herba milzadella",1,targioni_1858,LAMIUM maculatum
"erba , et herha rena",1,targioni_1858,IMPERATORIA Ostruthium
erba acetina,1,targioni_1858,FUMARI A offirinalis
erba alisma,1,targioni_1858,ALISMA Plantago
erba alliaria,1,targioni_1858,ERYSIMUM Alliarik
erba amara,1,targioni_1858,TANACETUW Balsamita. L
erba amara delle foglie grandi,1,targioni_1858,TANACETUW Balsamita. L
erba bacaja,1,targioni_1858,ONOBRYCHIS Natrix
erba baccellina,1,targioni_1858,TURRITIS hirsuta
erba bona,1,targioni_1858,VERBENA officinalis
erba boz- zolina,1,targioni_1858,NIGELLA damascena
erba brillantina,1,targioni_1858,BRIZA minor
erba brttoncina,1,targioni_1858,CISTUS apenninus
erba calderugia,1,targioni_1858,FUMARI A offirinalis
erba canina,1,targioni_1858,PHYSALIS Allcekengi
erba cannella,1,targioni_1858,SIUM latifoliun
erba ce- dronella,1,targioni_1858,MELISSA officinalis
erba cedra,1,targioni_1858,MELISSA officinalis
erba cedrina,1,targioni_1858,ZAPPANIA citriodora . Enc
erba cedrola,1,targioni_1858,ZAPPANIA citriodora . Enc
erba cele,1,targioni_1858,VERONICA Teucrium
erba che fa cantare le,1,targioni_1858,ANAGALLÌS arvensis
erba che puzza ji,1,targioni_1858,CHENOPODIUM vulvaria
erba ciprcssina,1,targioni_1858,THALICTRUM anguscifolium
erba colombina,1,targioni_1858,VERBENA officinalis
erba cornacchia,1,targioni_1858,ERYSIMUM officinale
erba cornetta,1,targioni_1858,CORNUS Securidaca
erba costa,1,targioni_1858,TANACETUW Balsamita. L
erba costina,1,targioni_1858,TANACETUW Balsamita. L
erba croce de’ fossi,1,targioni_1858,VALANTIA cruciata
erba croci- na,1,targioni_1858,ERYSIMUM officinale
erba da bachi,1,targioni_1858,SPIGELIA Anrhelmia
erba da gambe,1,targioni_1858,INULA Britannica
erba da incanti,1,targioni_1858,CIRCAEA lutctiana
erba da volatiche,1,targioni_1858,CHELIDONIUM majus
erba della,1,targioni_1858,ACONITUM Lycoctonum
erba della madonna,1,targioni_1858,CYNOGLOSSUM officinale i; FILAGO gallica; SEDUM dasiphyllum
erba di cento nervi,1,targioni_1858,PLANTAGO Cinquenervi. Lanciòla. Lancinola. Lingua canina . Pe- tacciola . Piantaggine. Piantaggine minore . Piantaggi- ne lunga . major
erba dolce,1,targioni_1858,SERIOLA aethnensis
erba d’ amore,1,targioni_1858,ORNITHOPUS Scorpioide»
erba d’ogni mese,1,targioni_1858,TEUCRIUM Chamaedrys
erba esca da pesci,1,targioni_1858,EUPHORBIA Caracias
erba falcona,1,targioni_1858,SINAPIS arvensis
erba gi- nestrina,1,targioni_1858,GALEGA officinalis
erba ginestrina,1,targioni_1858,CORNUS varia
erba gua- fava napoletana,1,targioni_1858,VERONICA Serpillifolia
erba guado,1,targioni_1858,ISATIS tinctoria
erba impaziente,1,targioni_1858,IMPATIENS • Noli tangere
erba laida,1,targioni_1858,LAPSANA communis
erba lattaja,1,targioni_1858,RICINUS communis
erba laurcnziana,1,targioni_1858,AJUGA reptans
erba lavan- da,1,targioni_1858,AVICENNIA BaLLOTA nigrti
erba luccia,1,targioni_1858,OPHYOGLOSSUM vulgarum
erba lucciola,1,targioni_1858,OPHYOGLOSSUM vulgarum
erba luna,1,targioni_1858,LUNARIA annua
erba lunaria,1,targioni_1858,LUNARIA annua
erba medica di fior giallo,1,targioni_1858,MEDICAGO falcata
erba mora.er- ba laurentina,1,targioni_1858,AJUGA reptans
erba nocca,1,targioni_1858,HELLEBORUS niger; HELLEBORUS viridi*
erba pa raguai,1,targioni_1858,PSORALEA glandulosa
erba paris,1,targioni_1858,PARIS quadrifolia
erba pina,1,targioni_1858,THALICTRUM flavum
erba porcellana,1,targioni_1858,PORTULACA olc-ac.a
erba querciola,1,targioni_1858,TEUCRIUM Chamaedrys
erba rara,1,targioni_1858,PHYSALIS pubnscens
erba regina,1,targioni_1858,NICOLI ANA Tabacuin
erba rurchetta,1,targioni_1858,HERNIARIA glabra
erba rustica,1,targioni_1858,SYMPHITUM • tuberosum
erba s,1,targioni_1858,"AJUGA reptans; ERYSIMUM Barbarea; HYPERICUM perforata; SEDUM Telephium , album , et rubrum; STACHYS germanica"
erba salvati,1,targioni_1858,VERONICA Serpillifolia
erba sedanina,1,targioni_1858,APIUM gravcolens 0
erba senza costola,1,targioni_1858,OPHYOGLOSSUM vulgarum
erba stre- gona,1,targioni_1858,STACHYS arvensis
erba strega,1,targioni_1858,ANTIRRHINUM Linaria; MENTHA Trifoglio fìbrino. Trifoglio palustre . mercuriaLis annua; STACHYS annua; STACHYS arvensis
erba stregona,1,targioni_1858,STACHYS annua
erba tortora,1,targioni_1858,CERINTHE maior
erba turca,1,targioni_1858,HERNIARIA glabra; STACHYS annua
erba velia,1,targioni_1858,FILAGO gallica; FILAGO germanica
erba velia stringiamore,1,targioni_1858,LOTUS hifsutus
erba vellutina,1,targioni_1858,CYNOGLOSSUM officinale i
erba vescicaria,1,targioni_1858,COLUTEA arborescens
erba vetturina,1,targioni_1858,MELILOTUS officinalis . Pers
erba vrnaria,1,targioni_1858,RICINUS communis
erba! maga,1,targioni_1858,CIRCAEA lutctiana
"erba, cd herbe",1,targioni_1858,ATROPA Belladonna
"erba, et herba",1,targioni_1858,SIUM majus
"erba, ev",1,targioni_1858,SENECIO Doria
erbaargentina,1,targioni_1858,LUNARIA annua
erculea bian- ca,1,targioni_1858,NYWPHAEA alba
eric,1,targioni_1858,MOGORIUM Mugherino di Goa Mugherino doppio; MYRIOPHYLLUM Noce moscada. Noce moscata
erisamo,1,targioni_1858,ERYSIMUM officinale
eritrodano,1,targioni_1858,ROSMARINUS RUB1A tinctorum
erniaria,1,targioni_1858,HERNIARIA glabra
erriiola,1,targioni_1858,HERNIARIA glabra
errsitna,1,targioni_1858,ERYSIMUM officinale
eruca,1,targioni_1858,BRASSTCA Eruca
ervo,1,targioni_1858,ERVUM Ervilia . L
esca da pesci,1,targioni_1858,EUPHORBIA Caracias
eschio,1,targioni_1858,QUERCUS - racemosa
esperide,1,targioni_1858,HESPERIS matronalis. Hespe-j ris sibirica
esula,1,targioni_1858,EUPHORBIA Erba cipressina . Erba di Gabbreto . Erba lattona . Erba rogna . Rogna di muro . Titimalo ciparissio
etiopivegetabile,1,targioni_1858,FUCUS vesiculosus ustus
etrusca,1,targioni_1858,LONÌCER Diervilla
eufragia,1,targioni_1858,EUPHRASIA officinali; EUPHRASIA officinalis
eufrasia,1,targioni_1858,EUPHRASIA officinali
eufrasiua,1,targioni_1858,EUPHRASIA officinali
eugenia,1,targioni_1858,EUGENIA uniflora
eupatorio,1,targioni_1858,EUPATORIUM cannabinum
eupatorio adulterino,1,targioni_1858,EUPATORIUM cannabinum
"europaea , media oblongo ftuctu corni",1,targioni_1858,OLE Oliva morchia infrantola Oli- vo infrantoio
"europaea , media rotunda",1,targioni_1858,OLE Oliva primaticcia da indolcire
"europaea , sylvestris oleaster",1,targioni_1858,OLE Oliva morajola
"europaea , trifera",1,targioni_1858,"OLE Oleastro . Olivagno- lo . Olivastro . Olivo salvatico . Ulivagnolo , Ulivastro"
europaea media rotunda praecox,1,targioni_1858,OLE Oli va Coreggiola
europaea racemosa,1,targioni_1858,OLE Olivello
"europaea, fructu parvo globoso",1,targioni_1858,OLE Oliva gallcttona . Olivo galletto
"europaea, parva •",1,targioni_1858,OLE Olivo salvatico . Ulivagnolo. Ulivastro
"europaea, sativa cajetana *",1,targioni_1858,OLE Olivo passerino
"europaea, sativa fructu maiusculo et oblongo",1,targioni_1858,"OLE Olivo salvatico del campo di Ficozzo . - europaea , sativa fructu ferme unciali"
evonimo del,1,targioni_1858,SPIRAEA ■ opulifolia
f/ci.cr firn,1,matthioli_1568,
fa- gera,1,targioni_1858,PYRI Fanale
"fa- viciae fabae , caulis",1,targioni_1858,"VIBURNUM Faba, minor, nigra"
"faba, semine maiori ro",1,targioni_1858,VIBURNUM ve mulette . Faule
"faba, semine oblongo",1,targioni_1858,VERONICA Veronica maschio
fagesa,1,targioni_1858,PYRI Durella
faggi fagge,1,targioni_1858,"PAGI sylvestris, fructus"
faggio,1,targioni_1858,FAGUS sylvestris
faggiola,1,targioni_1858,"PAGI sylvestris, fructus"
fagiolo coll’ occhio,1,targioni_1858,DOLICHOS Cstiang
fagiolo dall’occhio,1,targioni_1858,DOLICHOS Cstiang
fagiolo della madonna,1,targioni_1858,ANAGYRIS foctida
fagiolo d’ india,1,targioni_1858,RICINUS communis
fagottino,1,targioni_1858,ÀNEMONE coronaria
falsa gaggìa,1,targioni_1858,GLEDITSHIA inermi»
fanciullacce,1,targioni_1858,NIGELLA damascena
farcofagi,1,clavis_sanationis_1290,
farfara,1,targioni_1858,TURRITIS TUSS1LAGO Farfara
farfaraccio,1,targioni_1858,TURRITIS TUSS1LAGO Farfara
farfarel- la,1,targioni_1858,TURRITIS TUSS1LAGO Farfara
farfarello,1,targioni_1858,TURRITIS TUSS1LAGO Farfara
farfaro,1,targioni_1858,TURRITIS TUSS1LAGO Farfara
farfarugio,1,targioni_1858,CALTHA palustris; TOMO SECONDO Vainiglia da Inverno al CALTHApalustri*
farfero» fiiius ante patrem,1,targioni_1858,TURRITIS TUSS1LAGO Farfara
farferuggine,1,targioni_1858,CALTHA palustris; TOMO SECONDO Vainiglia da Inverno al CALTHApalustri*
farfugio,1,targioni_1858,CALTHA palustris
faricano,1,targioni_1858,"VIBURNUM Faba , semine viridi"
farinello,1,targioni_1858,CHENOPODIUM viride
farsuvero,1,targioni_1858,QUERCUS - racemosa
fascolaria?,1,targioni_1858,ANAGYRIS foctida
fastina,1,targioni_1858,"VERONICA Faba , semine rubro"
faufel ? frutti d’ areca,1,targioni_1858,ARECA Catechu
fava,1,targioni_1858,VIBURNUM VecVICIA Faba
fava baccelli ordinarj,1,targioni_1858,VIBURNUM ' tundo compresso
fava di,1,targioni_1858,IGN ATI A amara
fava di si- vinca major,1,targioni_1858,VIBURNUM ' tundo compresso
fava eia bianca,1,targioni_1858,VIBURNUM VecVICIA Faba
fava na- piccioni,1,targioni_1858,"VIBURNUM Faba , humilis"
fava nostrale,1,targioni_1858,VIBURNUM VecVICIA Faba
fava rossa dell’isola di fran- cia,1,targioni_1858,DOLICHOS altissimus
fava ver,1,targioni_1858,"VIBURNUM Faba , semine viridi"
faveronica maschio,1,targioni_1858,VERONICA Chamaedrys
fcrrugineus,1,targioni_1858,DENTARIA Viola di lepre
feccia,1,matthioli_1568,CUPRESSUS sempervirens. a. pyramidalis
fegatella,1,targioni_1858,ÀNEMONE Hepatica
felce,1,targioni_1858,PTERIS aquilina. L
felce da ricotte • felce imperiale,1,targioni_1858,PTERIS aquilina. L
felce maggiore,1,targioni_1858,PTERIS aquilina. L
feltro,1,targioni_1858,HOTTONIA palustris
femmina v,1,targioni_1858,ARISTOLOCHIA r. off. Aristolochia Clematitis. Ari- stolochia longa. Aristolo chia rotunda
fepe ab arangi,1,clavis_sanationis_1290,
feriduj,1,clavis_sanationis_1290,
ferolaggine,1,targioni_1858,FERULA communi
ferox,1,targioni_1858,DATURA Stramonio doppio pavonazzo
fertro,1,targioni_1858,CER ATHOPHYLLUM demersum; MYRIOPHYLLUM spicatum
ferula,1,targioni_1858,FERULA communi
fetica,1,targioni_1858,"FERULA Assafetida , et ejus gummi resina"
ficaria,1,targioni_1858,RANUNCULUS Stroscione
ficattole,1,targioni_1858,CHENOPODIUM vulvaria
ficn greco,1,targioni_1858,TRIGONELLA foenum graecum
fico,1,targioni_1858,"FICUS Carica; FICUS Carica, Castaneolus"
fico bitontone,1,targioni_1858,FICI Caricac varietates incertae
fico brogiotto nero,1,targioni_1858,"FICUS Carica, Bruschiottus niger"
fico del diavolo,1,targioni_1858,FICUS religiosa
fico di faraone,1,targioni_1858,FICUS Sicornorus
fico d’ egitto,1,targioni_1858,FICUS Sicornorus
fico d’india,1,targioni_1858,AGAVE americana; ALOE vulgaris . Enc; CACTUS Coclienillifer; CACTUS Opuntia
fico indiano,1,targioni_1858,CACTUS Coclienillifer; FICUS ' Fico indiano
ficod’amorajola,1,targioni_1858,MORUS Muffa gialla della arancino. Moro nero colle! Vallonea . more. Moro nero di foglia ! MUSA paradisiaca
ficus injical.ro,1,targioni_1858,FICO CASTAGNUOLO grassello v. Fici Caricae» varietà»
ficus sicomorus,1,targioni_1858,FICO CASTAGNUOLO Vedi Fico Castagnolo
fienarola,1,targioni_1858,POA pratonsis
fieno greco,1,targioni_1858,TRIGONELLA foenum graecum
fieno maremma- no,1,targioni_1858,ONOBRYCHIS saciva
fieno sano,1,targioni_1858,ONOBRYCHIS saciva
fieno santo,1,targioni_1858,ONOBRYCHIS saciva
"filicoia,oucro polipodio",1,matthioli_1568,VITIS Lonza
filipendula,1,targioni_1858,SPIRAEA Barba caprina
filipendula aquatica,1,targioni_1858,OENANTHE Pimpinelloides
finocchini,1,targioni_1858,"ANETHI Foeniculi, turiones"
finocchio,1,matthioli_1568,PHELLANDRIUM ?4 curri
finocchio aquatico,1,targioni_1858,PHELLANDRIUM ?4 curri
finocchio arancino,1,targioni_1858,SESELI tormosum
finocchio che sa d’ arancia,1,targioni_1858,SESELI tormosum
finocchio della china,1,targioni_1858,ILLICIUM anisatum
finocchio d’india,1,targioni_1858,CALAMUS Rotang
finocchio marino,1,targioni_1858,SESELI tormosum
finor,1,targioni_1858,PYRI Francesca reale
fior angiolo,1,targioni_1858,PHYL ADELPHUS coronari us
fior arancio,1,targioni_1858,"CITRI aurantii , flos"
fior bambagia,1,targioni_1858,IXIA Bulbocodium
fior cappuccio,1,targioni_1858,DAUCUS DÈLPHINnjM Aiacis
fior da,1,targioni_1858,SYRINGA T AGETES erecta
fior del fale,1,matthioli_1568,PYRI Danese; VIBURNUM Opulus
fior di,1,targioni_1858,PYRI Francesca rigata; TIGRIDIA pavonia
fior di passione,1,targioni_1858,PASSERINA P ASSIFLOR A coerulca
fior di tigre,1,targioni_1858,STAPELIA variegata
fior d’ adone,1,targioni_1858,ADONIS autumnalis
fior d’ arancio,1,targioni_1858,"CITRI aurantii , flos"
fior d’ oro,1,targioni_1858,CHRYSANTHEMITM coro narium
fior tigrato della china,1,targioni_1858,MORAEA chinensis
fiordi cardinale,1,targioni_1858,LOBELIA Cardinalis
fiore del cuculio,1,targioni_1858,ORCHIDEAE mulrae; SATYRIUM hircinum
fiore del rame,1,matthioli_1568,PYRI Danese; VIBURNUM Opulus
fiore di noce moscada,1,targioni_1858,MYRISTICAE Pers. Cortex interior fructus
fistola di pastore,1,targioni_1858,ALISMA Plantago
fistulosa,1,targioni_1858,CLAVARIA Ditola rossa
flavum,1,targioni_1858,TEUCRIUM !
flexuosus,1,targioni_1858,CÙCUMIS Spagna
flnrihunda,1,targioni_1858,CINCHONA Piton
flore albo,1,targioni_1858,GOMPHRENA Amarantoide. Perpetuini
flos cuculi,1,targioni_1858,LYCHNIS Erba nocca . Fischi da fi chiare . Violina di macchia
"flos cuculi, flore pieno",1,targioni_1858,LYCHNIS Fior del Cuculio . Margherita . Marghe- ritina rossa . Oculus Christi
"fm 
crifotanavtrofrainau 



cttatofaipntstep",1,clavis_sanationis_1290,
"foeniculum , aurantii odore",1,targioni_1858,ANETHUM Finocchio. Finocchino . •
"foeniculum , dulce",1,targioni_1858,ANETHUM Finocchio salvatico
"foeniculum, acre",1,targioni_1858,ANETHUM Finocchio cedrato . Finocchio che sa d’Arancia
foetidissima,1,targioni_1858,IRIS Irieos . Iride . Iride domestica . Iride fiorentina
foladina,1,targioni_1858,CHARA vulgaris
foliis eleganter incisis,1,targioni_1858,"MORUS . Moro arancino , Moro bianco di foglia arancina . Moro bianco di foglia intera . Moro romano bianco"
forasacchino,1,targioni_1858,AVENA fragilis; BROMUS diandrus
forasacco,1,targioni_1858,BRIZA BROAfUS diandrus; HORDEUM murinum
"forasacco , forasacco doppio",1,targioni_1858,BROMUS srerilis
forasacco peloso,1,targioni_1858,BRIZA mollis
forasacco ros- so orzo salvatico,1,targioni_1858,BROMUS srerilis
formento indiano,1,targioni_1858,ZEA Mays
formento- ne,1,targioni_1858,ZEA Mays
